"position","const","created","modified","description","Title","Title type","Directors","RDLongoria rated","IMDb Rating","Runtime (mins)","Year","Genres","Num. Votes","Release Date (month/day/year)","URL"
"88","tt1194263","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Get Low","Feature Film","Aaron Schneider","7","7.1","103","2009","drama, mystery","19028","2009-09-12","http://www.imdb.com/title/tt1194263/"
"89","tt0436295","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Fall of Fujimori","Documentary","Ellen Perry","7","7.4","83","2005","documentary","253","2005-01","http://www.imdb.com/title/tt0436295/"
"90","tt0841030","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Icons of Power: Napoleon's Final Battle","Documentary","Doug Shultz","7","7.5","10","2006","documentary","30","2006-06-11","http://www.imdb.com/title/tt0841030/"
"91","tt1163204","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The Campaigns of Napoleon: 1812 - Napoleon's Road to Moscow","Documentary","Chris Gormlie","7","6.5","55","2003","documentary","10","2003","http://www.imdb.com/title/tt1163204/"
"92","tt1325593","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Medal of Honor","Documentary","Roger Sherman","7","7.7","86","2008","documentary, history, war","54","2008-11-05","http://www.imdb.com/title/tt1325593/"
"93","tt1566501","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","For Greater Glory: The True Story of Cristiada","Feature Film","Dean Wright","7","6.6","145","2012","drama, history, war","3630","2012-04-20","http://www.imdb.com/title/tt1566501/"
"94","tt1193626","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Murder by Proxy: How America Went Postal","Documentary","Emil Chiaberi","7","6.8","","2010","documentary","149","2010","http://www.imdb.com/title/tt1193626/"
"95","tt1600841","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Please Remove Your Shoes","Documentary","Rob DelGaudio","7","6.5","89","2010","documentary, biography, history, news","147","2010-07-01","http://www.imdb.com/title/tt1600841/"
"96","tt0159784","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Takedown","Feature Film","Joe Chappelle","8","6.3","96","2000","crime, drama, thriller","5865","2000-03-15","http://www.imdb.com/title/tt0159784/"
"97","tt0066832","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Billy Jack","Feature Film","T.C. Frank","7","6.2","114","1971","action, drama","4394","1971-05-01","http://www.imdb.com/title/tt0066832/"
"98","tt0117293","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","Paradise Lost: The Child Murders at Robin Hood Hills","Documentary","Joe Berlinger, Bruce Sinofsky","8","8.4","150","1996","documentary, crime, drama, mystery","10523","1996-01","http://www.imdb.com/title/tt0117293/"
"99","tt0030993","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","You Can't Take It with You","Feature Film","Frank Capra","7","8.0","126","1938","comedy, drama, romance","17622","1938-08-23","http://www.imdb.com/title/tt0030993/"
"100","tt0115418","Tue Mar 12 08:25:42 2013","Tue Mar 12 08:25:42 2013","","The West","TV Series","Stephen Ives","8","8.4","537","1996","documentary, history, war","731","1996-09-15","http://www.imdb.com/title/tt0115418/"
